Subjects,accuracy,precision,recall
1,0.0,0.0,0.0
2,0.7101223581757509,0.7884941325029031,0.7101223581757509
4,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.24334558414077292,0.6500481576353054,0.24334558414077292
14,0.40475661258057344,0.6789382789717351,0.40475661258057344
15,0.3789706696181516,0.7583777286310216,0.3789706696181516
17,0.632755170113409,0.571809215823253,0.632755170113409
18,0.46786148910277686,0.6565684640342664,0.46786148910277686
20,0.8313602859057404,1.0,0.8313602859057404
21,0.5198075201432408,0.7259600643547959,0.5198075201432408
22,0.0,0.0,0.0
23,0.11374513077351141,0.014926492507772041,0.11374513077351141
25,0.38618295823536,0.6100280566296278,0.38618295823536
26,0.10686852944450628,0.11419502357982007,0.10686852944450628
27,0.19769886049341742,0.2309911084244207,0.19769886049341742
30,0.5643410852713179,0.7299376821303197,0.5643410852713179
32,0.18565782044042914,0.38014229921685744,0.18565782044042917
33,0.3032701035726754,0.12419922220461271,0.3032701035726754
34,0.3379295007227844,0.3701465332980096,0.3379295007227844
37,0.35196964624483873,0.33395335184200475,0.35196964624483873
38,0.4250389841835598,0.42068380887421286,0.4250389841835598
39,0.11857269503546099,0.23064669428532458,0.11857269503546099
40,0.2272777839581711,1.0,0.2272777839581711
41,0.2586168556815655,0.8450727277011761,0.2586168556815655
